product_name,storage_condition,item_condition_on_purchase,predicted_expiry_days
ice cream,room temperature,fresh,1
peach,freezer,near expiry,2
beetroot,fridge,damaged pack,9
guava,freezer,leaky pack,1
tinda (apple gourd),freezer,minor defect,4
palak (spinach),fridge,slightly bruised,3
potato,fridge,leaky pack,3
curd,fridge,leaky pack,1
suran (yam),freezer,leaky pack,1
lassi,fridge,overripe,1
mint leaves,room temperature,fresh,3
lady's finger (okra),freezer,minor defect,13
dates (khajur),room temperature,damaged pack,21
potato,room temperature,slightly bruised,6
tinda (apple gourd),room temperature,slightly bruised,2
coriander leaves,room temperature,discolored,1
bread,fridge,overripe,1
brinjal (eggplant),fridge,minor defect,10
spinach,freezer,near expiry,2
methi (fenugreek leaves),freezer,sealed & intact,6
fish,room temperature,fresh,1
green chilli,freezer,slightly bruised,14
lauki (bottle gourd),freezer,spoiled,1
parwal (pointed gourd),fridge,spoiled,1
jamun,room temperature,near expiry,1
rava (semolina),freezer,sealed & intact,74
lady's finger (okra),room temperature,sealed & intact,8
blueberry,freezer,near expiry,2
milk,freezer,damaged pack,3
brinjal (eggplant),freezer,spoiled,1
lady's finger (okra),room temperature,minor defect,6
suji (semolina),freezer,leaky pack,15
custard apple,freezer,sealed & intact,6
mishti doi (sweet yogurt),fridge,fresh,15
carrot,room temperature,near expiry,3
atta (wheat flour),fridge,discolored,9
carrot,fridge,overripe,4
arbi (colocasia),freezer,overripe,1
aam panna,room temperature,damaged pack,21
beetroot,freezer,leaky pack,3
fish,room temperature,fresh,1
bread,freezer,discolored,1
muskmelon,freezer,minor defect,4
cherry,fridge,damaged pack,3
mango,room temperature,slightly bruised,2
malai (cream),fridge,damaged pack,9
methi (fenugreek leaves),fridge,minor defect,3
kiwi,fridge,minor defect,3
ghee (clarified butter),freezer,overripe,23
cauliflower,room temperature,leaky pack,1
sitaphal,freezer,slightly bruised,4
brinjal (eggplant),room temperature,sealed & intact,8
paneer,room temperature,minor defect,2
lady's finger (okra),room temperature,fresh,9
bread,freezer,damaged pack,3
chikoo,fridge,near expiry,2
sweet lime,freezer,discolored,1
suran (yam),fridge,sealed & intact,4
lady's finger (okra),freezer,leaky pack,3
kheer,freezer,sealed & intact,18
salt,fridge,leaky pack,1
plum,fridge,sealed & intact,4
papaya,fridge,fresh,5
cabbage,freezer,slightly bruised,14
spinach,freezer,overripe,1
atta (wheat flour),freezer,damaged pack,46
thandai,freezer,overripe,23
kokum juice,fridge,near expiry,24
cauliflower,freezer,minor defect,13
potato,freezer,spoiled,1
papaya,room temperature,sealed & intact,2
bathua (chenopodium),freezer,overripe,1
pineapple,fridge,spoiled,1
atta (wheat flour),room temperature,fresh,36
mint leaves,freezer,spoiled,1
mint leaves,fridge,fresh,5
milk,freezer,fresh,6
mulberry,fridge,fresh,5
apple,fridge,leaky pack,1
cabbage,room temperature,overripe,2
chicken,room temperature,fresh,1
apricot,fridge,discolored,1
grapes,room temperature,spoiled,1
banana,room temperature,spoiled,1
jamun,fridge,minor defect,3
coriander leaves,room temperature,minor defect,2
onion,freezer,fresh,19
jamun,fridge,minor defect,3
dates (khajur),fridge,spoiled,3
green chilli,fridge,leaky pack,3
amla,fridge,minor defect,3
litchi,room temperature,overripe,1
beetroot,fridge,overripe,4
kokum juice,fridge,fresh,60
apricot,fridge,slightly bruised,3
cabbage,fridge,minor defect,10
dahi (yogurt),room temperature,spoiled,1
pomegranate,fridge,damaged pack,3
ghee (clarified butter),fridge,minor defect,42
bread,room temperature,near expiry,1
salt,fridge,leaky pack,1
khoya (mawa),freezer,overripe,23
besan (gram flour),fridge,near expiry,24
potato,fridge,discolored,2
apricot,fridge,sealed & intact,4
mishti doi (sweet yogurt),fridge,discolored,2
strawberry,freezer,leaky pack,1
lady's finger (okra),fridge,leaky pack,3
spinach,fridge,slightly bruised,3
kiwi,fridge,spoiled,1
pomegranate,fridge,discolored,1
beetroot,freezer,discolored,2
lauki (bottle gourd),freezer,slightly bruised,4
lassi,freezer,discolored,1
maida (refined flour),freezer,sealed & intact,74
bread,fridge,sealed & intact,4
cabbage,room temperature,minor defect,6
thandai,freezer,near expiry,31
rava (semolina),room temperature,slightly bruised,27
sitaphal,room temperature,discolored,1
fish,room temperature,fresh,1
jamun,fridge,leaky pack,1
potato,freezer,near expiry,7
thandai,room temperature,slightly bruised,27
beetroot,room temperature,near expiry,3
lady's finger (okra),room temperature,leaky pack,1
chaas (buttermilk),freezer,leaky pack,1
sitaphal,freezer,leaky pack,1
chaas (buttermilk),freezer,slightly bruised,4
pear,room temperature,slightly bruised,2
guava,freezer,leaky pack,1
besan (gram flour),room temperature,near expiry,14
curd,fridge,sealed & intact,4
blueberry,freezer,near expiry,2
chikoo,room temperature,near expiry,1
malai (cream),fridge,minor defect,10
watermelon,fridge,fresh,5
apple,fridge,near expiry,2
lady's finger (okra),freezer,overripe,5
kokum juice,freezer,minor defect,54
fish,room temperature,fresh,1
sitaphal,fridge,slightly bruised,3
besan (gram flour),freezer,fresh,78
raspberry,freezer,leaky pack,1
aam panna,room temperature,damaged pack,21
lauki (bottle gourd),room temperature,sealed & intact,2
lauki (bottle gourd),room temperature,spoiled,1
beetroot,freezer,slightly bruised,14
coriander leaves,freezer,minor defect,4
kaddu (pumpkin),freezer,damaged pack,3
cabbage,fridge,damaged pack,9
karela (bitter gourd),fridge,damaged pack,3
apple,room temperature,spoiled,1
suji (semolina),fridge,slightly bruised,45
ghee (clarified butter),fridge,overripe,18
custard apple,fridge,overripe,1
freshly baked buns,room temperature,spoiled,1
custard apple,fridge,spoiled,1
pomegranate,room temperature,near expiry,1
atta (wheat flour),room temperature,sealed & intact,34
fish,room temperature,fresh,1
pomegranate,freezer,leaky pack,1
apple,fridge,slightly bruised,3
bread,fridge,discolored,1
bread,fridge,slightly bruised,3
kiwi,room temperature,sealed & intact,2
carrot,room temperature,discolored,1
mango,fridge,minor defect,3
grapes,fridge,near expiry,2
lauki (bottle gourd),freezer,minor defect,4
kheer,freezer,leaky pack,3
suran (yam),room temperature,minor defect,2
atta (wheat flour),freezer,sealed & intact,74
kaddu (pumpkin),room temperature,slightly bruised,2
chaas (buttermilk),freezer,near expiry,2
